id,title,topic,difficulty,source_type,content
11,Eye and face protection,ppe,beginner,original_project_summary,"Eye or face protection is considered when splashes, sprays, or droplets may reach mucous membranes. Learners should be able to explain the exposure pathway and how the selected barrier addresses it."
12,Limits of PPE,ppe,intermediate,original_project_summary,"PPE is one layer of protection and does not replace hand hygiene, environmental controls, safe work practices, or correct equipment handling. Study answers should avoid presenting PPE as a complete solution by itself."
13,Clean and sterile technique,sterile_technique,beginner,original_project_summary,"Clean technique aims to reduce microorganisms, while sterile technique aims to maintain an area and items free from viable microorganisms according to the approved procedure. Learners should describe the different goals rather than only memorizing labels."
14,Sterile field awareness,sterile_technique,beginner,original_project_summary,"A sterile field is managed by continuously observing it and controlling what enters it. Items are treated according to their verified status, packaging, integrity, and the rules in the approved procedure."
15,Recognizing contamination,sterile_technique,intermediate,original_project_summary,"In educational scenarios, contamination may occur when sterility is uncertain, packaging is compromised, an item contacts a non-sterile surface, or the field is left unobserved contrary to policy. When in doubt, the learner should consult the approved procedure rather than improvise."
16,Movement around a sterile field,sterile_technique,intermediate,original_project_summary,"Movement can create opportunities for contact, airflow disruption, or loss of field awareness. Learners should plan supplies and positioning before beginning and avoid unnecessary movement. Specific boundaries and distances are policy-dependent."
17,Moisture and barrier integrity,sterile_technique,intermediate,original_project_summary,Moisture can affect barrier integrity and may allow transfer through materials. Learners should inspect the field and supplies for wetness or damage and follow the institution's rule for replacing compromised items.
18,Preparing sterile supplies,sterile_technique,beginner,original_project_summary,"Preparation includes confirming the correct supplies, checking package integrity and expiry information, organizing the workspace, and reviewing the approved procedure before beginning. The goal is to reduce interruptions and uncertainty."
19,SBAR overview,sbar,beginner,original_project_summary,"SBAR is a structured communication framework: Situation, Background, Assessment, and Recommendation. It helps organize important information so the receiver can understand the immediate concern, relevant context, the speaker's assessment, and the requested next step."
20,SBAR situation,sbar,beginner,original_project_summary,The Situation section states why the communication is occurring now. It should be concise and identify the main concern without a long history.
21,SBAR background,sbar,beginner,original_project_summary,The Background section provides only the context needed to understand the current concern. Learners should prioritize relevant facts and avoid unrelated detail.
22,SBAR assessment,sbar,intermediate,original_project_summary,The Assessment section communicates what the speaker has observed and how the information is understood within the speaker's role. A learner should separate observed facts from assumptions and remain within scope.
23,SBAR recommendation,sbar,intermediate,original_project_summary,"The Recommendation section states what response, clarification, review, or action is being requested. A clear recommendation reduces ambiguity and supports closed-loop communication."
24,Closed-loop communication,sbar,intermediate,original_project_summary,"Closed-loop communication confirms that a message was received and understood. Read-back, clarification, and confirmation can reduce errors when information is complex or urgent. Exact organizational expectations should follow policy."
25,Objective documentation,documentation,beginner,original_project_summary,"Objective documentation describes observations, actions, and responses using specific, neutral language. Learners should avoid judgmental labels, unsupported conclusions, or vague wording."
26,Timely documentation,documentation,beginner,original_project_summary,"Timely documentation supports continuity and reduces reliance on memory. When an entry cannot be completed at the expected time, learners should follow the approved process rather than altering timestamps or concealing the delay."
27,Documentation corrections,documentation,intermediate,original_project_summary,"Corrections must preserve the integrity of the record. Learners should use the approved electronic or paper correction process and should never erase, obscure, or silently replace an original entry."
28,Approved abbreviations,documentation,beginner,original_project_summary,Abbreviations can be misunderstood. Learners should use only abbreviations approved by their institution and write terms in full when uncertain.
29,Privacy in documentation,documentation,intermediate,original_project_summary,"Documentation should include information relevant to care while protecting privacy. Access, discussion, copying, and disposal of records are governed by organizational policy and applicable law. This study app should never receive real patient identifiers."
30,Incident reports and the clinical record,documentation,intermediate,original_project_summary,An incident-reporting process and the clinical record serve different purposes. Learners should follow policy for each and avoid copying confidential internal analysis into the clinical record unless required by the approved process.
31,Retrieval practice,study_methods,beginner,original_project_summary,"Retrieval practice means trying to recall information before looking at the answer. Short quizzes, blank-page summaries, and explaining a concept aloud can reveal gaps more effectively than rereading alone."
32,Spaced review,study_methods,beginner,original_project_summary,Spaced review revisits material across multiple sessions rather than concentrating all study into one period. The spacing can be adjusted based on difficulty and performance.
33,Deliberate practice,study_methods,intermediate,original_project_summary,"Deliberate practice targets a specific weak skill, uses a clear success criterion, and includes feedback. Repeating an entire routine without identifying errors is less efficient."
34,Error log,study_methods,beginner,original_project_summary,"An error log records the question or skill, the incorrect idea, the corrected explanation, and a plan to prevent repetition. Reviewing the log turns mistakes into study targets."
35,Self-explanation,study_methods,intermediate,original_project_summary,Self-explanation asks the learner to explain why a step or principle matters. This links actions to reasoning and makes it easier to adapt knowledge to a new scenario.
36,Simulation reflection,study_methods,intermediate,original_project_summary,"After a fictional simulation, reflection can examine what happened, what cues were noticed, what communication worked, and what should be practised next. Reflection is for learning and does not certify competence."
